,FALSE,11,Floyd Warshall Algo,https://leetcode.com/problems/find-the-city-with-the-smallest-number-of-neighbors-at-a-threshold-distance/description/,Medium,,"flipkart, microsoft ",
,FALSE,12,Kosaraju Strongly Connected Components,https://leetcode.com/problems/number-of-connected-components-in-an-undirected-graph/description/,Medium,,"Amazon, Meta , Stripe, Airbnb , Oracle, DE Shaw, Apple ",
,FALSE,13,Check Bi-partite Graph,https://leetcode.com/problems/is-graph-bipartite/description/,Medium,,"  Amazon , Adobe,  Directi,Uber,DE shaw, Microsoft ",
,FALSE,14,Number of Islands,https://leetcode.com/problems/number-of-islands/description/,Medium,," Amazon , Adobe,  Directi,Uber,DE shaw, Microsoft ",
,FALSE,15,Rotten Oranges,https://leetcode.com/problems/rotting-oranges/description/,Medium,,"Sharechat  + Directi , Amazon , microsoft ",
,FALSE,16,01 Matrix,https://leetcode.com/problems/01-matrix/description/,Medium,,"Google , uber, Meta, microsoft, Amazon ",
,FALSE,17,Course Schedule I & II,https://leetcode.com/problems/course-schedule-ii/description/,Medium,,"Amazon, Google, Zoho, Oracle, Samsung, Meta , intuit  , zepto, phonepe , fliipkart, citadel , salesforce",
,FALSE,18,Alien Dictionary,https://leetcode.com/problems/alien-dictionary/description/,Hard,,"Google, amazon, Linkedin ,Doordash, Flipkart, Adobe ",
,FALSE,19,Cheapest Flights within K Stops,https://leetcode.com/problems/cheapest-flights-within-k-stops/description/,Medium,,"Google , amazon , meta , adobe, uber ",
,FALSE,20,Clone a Graph,https://leetcode.com/problems/clone-graph/description/,Medium,,"Amazon , Microoft , Meta , Linkedin , Oracle , Apple , Adobe,Nvidia, Paypal , Goldman Sachs, Salesforce",
,FALSE,21,Most Stones Removed,https://leetcode.com/problems/most-stones-removed-with-same-row-or-column/description/,Medium,,Microsoft Flipkart Pinterest Meta Uber Samung ,
,FALSE,22,Number of Provinces,https://leetcode.com/problems/number-of-provinces/,Medium,,Paytm,
,FALSE,23,Number of Ways to Arrive at Destination,https://leetcode.com/problems/number-of-ways-to-arrive-at-destination/description/,Medium,,"Phonepe ,  Google, Apple, Microsoft, Amazon ",
,FALSE,24,Topoplogical Sorting (BFS),https://leetcode.com/problems/longest-increasing-path-in-a-matrix/description/?envType=problem-list-v2&envId=topological-sort,Hard,,"Sprinklr, Google, Amazon, Meta ",
,FALSE,25,Dijkstra's Algorithm,https://leetcode.com/problems/minimum-cost-to-reach-destination-in-time/description/,Hard,,"Google, Amazon , Meta ",
,FALSE,26,Kruskal's Algorithm (MST),https://leetcode.com/problems/min-cost-to-connect-all-points/description/,Hard,,"Airbnb , Citadel, Uber, Google, Meta , Airbnb",
,,,,,,,,
,,,,,,,,
DP,FALSE,1,Buy & Sell Stocks I,Problem Link,Easy,,Amazon D-E-Shaw Directi Flipkart Goldman Sachs Intuit MakeMyTrip Microsoft Ola Cabs Oracle Paytm Pubmatic Quikr Salesforce Sapient Swiggy Walmart Media.net Google,
,FALSE,2,0-1 Knapsack,Problem Link,Medium,, Amazon Directi Flipkart GreyOrange Microsoft Mobicip Morgan Stanley Oracle Payu Snapdeal Visa,
,FALSE,3,Target Sum Subset,Problem Link,Medium,,"Myntra ,Microsoft, Meta , Amazon ",
